AwardID,Awards,Year,Category,MovieID,RoleID
1,Oscars,2010,Actor -- Leading Role,,108
2,Oscars,2010,Actor -- Supporting Role,,108
3,Oscars,2010,Actress -- Leading Role,,108
4,Oscars,2010,Actress -- Supporting Role,,108
5,Oscars,2010,Animated Feature Film,,87
6,Oscars,2010,Art Direction,,87
7,Oscars,2010,Cinematography,,65
8,Oscars,2010,Costume Design,,4
9,Oscars,2010,Directing,,87
10,Oscars,2010,Documentary (Feature),,1
11,Oscars,2010,Documentary (Short Subject),,1
12,Oscars,2010,Film Editing,,21
13,Oscars,2010,Foreign Language Film,,2
14,Oscars,2010,Makeup,,109
15,Oscars,2010,Music (Scoring),,10
16,Oscars,2010,Music (Song),,10
17,Oscars,2010,Best Picture,,2
18,Oscars,2010,Short Film (Animated),,109
19,Oscars,2010,Short Film (Live Action),,109
20,Oscars,2010,Sound,,30
21,Oscars,2010,Sound Editing,,30
22,Oscars,2010,Visual Effects,,36
23,Oscars,2010,Writing,,19
24,Oscars,2010,Writing,,19
25,Oscars,2010,Honorary Award,,109
26,Oscars,2010,Honorary Award,,109
27,Oscars,2010,Honorary Award,,109
28,Oscars,2010,Irving G. Thalberg Memorial Award,,109
29,Oscars,2010,Scientific and Technical (Scientific and Engineering Award),,109
30,Oscars,2010,Scientific and Technical (Scientific and Engineering Award),,109
31,Oscars,2010,Scientific and Technical (Scientific and Engineering Award),,109
32,Oscars,2010,Scientific and Technical (Scientific and Engineering Award),,109
33,Oscars,2010,Scientific and Technical (Technical Achievement Award),,109
34,Oscars,2010,Scientific and Technical (Technical Achievement Award),,109
35,Oscars,2010,Scientific and Technical (Technical Achievement Award),,109
36,Oscars,2010,Scientific and Technical (Technical Achievement Award),,109
37,Oscars,2010,Scientific and Technical (Technical Achievement Award),,109
38,Oscars,2010,Scientific and Technical (Bonner Medal),,109
39,Oscars,2009,Actor -- Leading Role,,108
40,Oscars,2009,Actor -- Supporting Role,,108
41,Oscars,2009,Actress -- Leading Role,,108
42,Oscars,2009,Actress -- Supporting Role,,108
43,Oscars,2009,Animated Feature Film,,87
44,Oscars,2009,Art Direction,,87
45,Oscars,2009,Cinematography,,65
46,Oscars,2009,Costume Design,,4
47,Oscars,2009,Directing,,87
48,Oscars,2009,Documentary (Feature),,1
49,Oscars,2009,Documentary (Short Subject),,1
50,Oscars,2009,Film Editing,,21
51,Oscars,2009,Foreign Language Film,,2
52,Oscars,2009,Makeup,,109
53,Oscars,2009,Music (Scoring),,10
54,Oscars,2009,Music (Song),,10
55,Oscars,2009,Best Picture,,2
56,Oscars,2009,Short Film (Animated),,109
57,Oscars,2009,Short Film (Live Action),,109
58,Oscars,2009,Sound,,30
59,Oscars,2009,Sound Editing,,30
60,Oscars,2009,Visual Effects,,36
61,Oscars,2009,Writing,,19
62,Oscars,2009,Writing,,19
63,Oscars,2009,Honorary Award,,109
64,Oscars,2009,Honorary Award,,109
65,Oscars,2009,Honorary Award,,109
66,Oscars,2009,Irving G. Thalberg Memorial Award,,109
67,Oscars,2009,Scientific and Technical (Scientific and Engineering Award),,109
68,Oscars,2009,Scientific and Technical (Scientific and Engineering Award),,109
69,Oscars,2009,Scientific and Technical (Scientific and Engineering Award),,109
70,Oscars,2009,Scientific and Technical (Scientific and Engineering Award),,109
71,Oscars,2009,Scientific and Technical (Scientific and Engineering Award),,109
72,Oscars,2009,Scientific and Technical (Scientific and Engineering Award),,109
73,Oscars,2009,Scientific and Technical (Scientific and Engineering Award),,109
74,Oscars,2009,Scientific and Technical (Scientific and Engineering Award),,109
75,Oscars,2009,Scientific and Technical (Scientific and Engineering Award),,109
76,Oscars,2009,Scientific and Technical (Scientific and Engineering Award),,109
77,Oscars,2009,Scientific and Technical (Technical Achievement Award),,109
78,Oscars,2009,Scientific and Technical (Technical Achievement Award),,109
79,Oscars,2009,Scientific and Technical (Technical Achievement Award),,109
80,Oscars,2009,Scientific and Technical (Technical Achievement Award),,109
81,Oscars,2009,Scientific and Technical (Technical Achievement Award),,109
82,Oscars,2008,Actor -- Leading Role,,108
83,Oscars,2008,Actor -- Supporting Role,,108
84,Oscars,2008,Actress -- Leading Role,,108
85,Oscars,2008,Actress -- Supporting Role,,108
86,Oscars,2008,Animated Feature Film,,87
87,Oscars,2008,Art Direction,,87
88,Oscars,2008,Cinematography,,65
89,Oscars,2008,Costume Design,,4
90,Oscars,2008,Directing,,87
91,Oscars,2008,Documentary (Feature),,1
92,Oscars,2008,Documentary (Short Subject),,1
93,Oscars,2008,Film Editing,,21
94,Oscars,2008,Foreign Language Film,,2
95,Oscars,2008,Makeup,,109
96,Oscars,2008,Music (Scoring),,10
97,Oscars,2008,Music (Song),,10
98,Oscars,2008,Best Picture,,2
99,Oscars,2008,Short Film (Animated),,109
100,Oscars,2008,Short Film (Live Action),,109
101,Oscars,2008,Sound,,30
102,Oscars,2008,Sound Editing,,30
103,Oscars,2008,Visual Effects,,36
104,Oscars,2008,Writing,,19
105,Oscars,2008,Writing,,19
