1,Betty Elms
2,Rita
3,Catherine Lenoix
4,Vincenzo Castigliane
5,Adam Kesher
6,Detective Neal Domgaard
7,Detective Harry McKnight
8,Cynthia Jenzen
9,Louise Bonner
10,Wilkins
11,Gene
12,Jimmy Katz
13,Linney James
14,Wally Brown
15,Lorraine Kesher
16,Luigi Castigliani
17,Billy Deznutz
18,Vincent Darby
19,Waitress at Winkies (Diane / Betty) (as Melissa Crider)
20,Ray Hott
21,Irene
22,Irene's Companion at Airport
23,Limo Driver (as Scott Wulff)
24,Ruth Elms
25,Dan
26,Herb
27,Bum
28,Mr. Roque
29,Roque's Manservant
30,Back of Head Man
31,Hairy-Armed Man
32,Cab Driver at LAX (as Sean E. Markland)
33,Valet Attendant
34,Robert Smith
35,Espresso Man
36,Camilla Rhodes
37,Castigliane Limo Driver (as Matt Gallini)
38,Joe Messing
39,Ed
40,Heavy-Set Woman
41,Vacuum Man (as Charlie Croughwell)
42,Laney
43,Taka
44,Kenny
45,Cookie Park Hotel Manager / Club Silencio M.C.
46,Cowboy (as Lafayette Montgomery)
47,Martha Johnson
48,Bob Brooker
49,Nicki Pelazza
50,Julie Chadwick (as Lisa Ferguson)
51,2nd Assistant Director
52,Carol
53,Backup Singer #1
54,Backup Singer #2
55,Backup Singer #3
56,Backup Singer #4
57,Hank (as Michael Weatherred)
58,Jason
59,Woman in #12
60,Bondar
61,Club Silencio Trumpet Player (as Conti Condoli)
62,Blue-Haired Lady in balcony seat at Club Silencio
63,Herself
64,Blond in Bed (Corpse) in #17
65,Dancer
66,Dancer
67,Dancer
68,Dancer
69,Dancer
70,Dancer
71,Dancer
72,Ivan
73,Adam
74,Sarah
75,Dr. Kolberg
76,Holger
77,Gunnar
78,Khalid
79,Poul
80,Esben
81,Nalle
82,Arne
83,Jørgen
84,Christoffer
85,Mädchen an der Tankstelle
86,Junge Mann an der Tankstelle
87,Junge Mann an der Tankstelle
88,Pauline Parker Rieper
89,Juliet Hulme
90,Honorah Parker Rieper
91,Herbert Rieper
92,Hilda Hulme
93,Dr. Henry Hulme
94,Dr. Bennett
95,John
96,Miss Stewart
97,Bill Perry
98,Miss Waller
99,Mrs. Collins
100,Orson Welles
101,Charles
102,Lukas
103,Emmy
104,Severin
105,Großknecht
106,Danninger
107,Alte Nane
108,Rosalind
109,Ganders
110,Don Fabrizio Salina
111,Tancredi Falconeri
112,Angelica Sedara/Bertiana
113,Don Calogero Sedara
114,Maria Stella Salina
115,Don Ciccio Tumeo
116,Father Pirrone
117,Caterina
118,General
119,Conte Cavriaghi
120,
121,Laurel Sommersby
122,John Robert Sommersby/Horace Townsend
123,Orin Meecham
124,Judge Barry Conrad Issacs
125,Buck
126,Reverend Powell
127,Travis
128,Rob
129,Esther
130,Joseph
131,Dick Mead
132,Webb
133,Doc Evans
134,Meister Liu
135,Da Ming
136,Er Ming
137,He Bing
138,Hu Bei Bei
139,Li Ding
140,Feng Shun
141,Det. Jimmy "Popeye" Doyle
142,Alain Charnier
143,Det. Buddy "Cloudy" Russo
144,Salvatora "Sal" Boca
145,Pierre Nicoli
146,Henri Devereaux
147,Bill Mulderig
148,Joel Weinstock
149,Angie Boca
150,Simonson
151,Klein
152,Thomas
153,Jane
154,Patricia
155,Bill
156,Verushka
157,The Blonde
158,The Brunette
159,Ron
160,Mime
161,Mime
162,Jesse Lujack
163,Monica Poiccard
164,Birnbaum
165,Parmental
166,Paul
167,Enright
168,Tony Berrutti
169,Salesgirl
170,Grocer
171,Tomachoff
172,Highway Patrolman
173,Dr. Boudreaux
174,Kid
175,Carlito
176,Man with Pipe
177,Man with Purse
