ID,Chacter1,Person1,Chacter2,Person2,Chacter3,Person3,Chacter4,Person4,Chacter5,Person5,Chacter6,Person6
1018,Betty Elms,Naomi Watts,Rita,Laura Harring,Catherine Lenoix,Ann Miller,Vincenzo Castigliane,Dan Hedaya,Adam Kesher,Justin Theroux,Detective Neal Domgaard,Brent Briscoe
1023,Ivan,Mads Mikkelsen,Adam,Ulrich Thomsen,Sarah,Paprika Steen,Dr. Kolberg,Ole Thestrup,Holger,Nikolaj Lie Kaas,Gunnar,Nicolas Bro
1024,Pauline Parker Rieper,Melanie Lynskey,Juliet Hulme,Kate Winslet,Honorah Parker Rieper,Sarah Peirse,Herbert Rieper,Simon O'Connor,Hilda Hulme,Diana Kent,Dr. Henry Hulme,Clive Merrison
1039,Lukas,Simon Schwarz,Emmy,Sophie Rois,Severin,Lars Rudolph,Großknecht,Tilo Prückner,Danninger,Ulrich Wildgruber,Alte Nane,Julia Gschnitzer
1040,Don Fabrizio Salina,Burt Lancaster,Tancredi Falconeri,Alain Delon,Angelica Sedara/Bertiana,Claudia Cardinale,Don Calogero Sedara,Paolo Stoppa,Maria Stella Salina,Rina Morelli,Don Ciccio Tumeo,Serge Reggiani
1049,Laurel Sommersby,Jodie Foster,John Robert Sommersby/Horace Townsend,Richard Gere,Orin Meecham,Bill Pullman,Judge Barry Conrad Issacs,James Earl Jones,Buck,Lanny Flaherty,Reverend Powell,William Windom
1050,Meister Liu,Zhu Xu,Da Ming,Quanxin Pu,Er Ming,Jiang Wu,He Bing,He Zeng,Hu Bei Bei,Zhang Jin Hao,Li Ding,Lao Lin
1051,"Det. Jimmy ""Popeye"" Doyle",Gene Hackman,Alain Charnier,Fernando Rey,"Det. Buddy ""Cloudy"" Russo",Roy Scheider,"Salvatora ""Sal"" Boca",Tony Lo Bianco,Pierre Nicoli,Marcel Bozzuffi,Henri Devereaux,Frédéric de Pasquale
1052,Thomas,David Hemmings,Jane,Vanessa Redgrave,Patricia,Sarah Miles,Bill,John Castle,Verushka,Veruschka von Lehndorff,The Blonde,Jane Birkin
1058,Jesse Lujack,Richard Gere,Monica Poiccard,Valérie Kaprisky,Birnbaum,Art Metrano,Parmental,John P. Ryan,Paul,William Tepper,Enright,Robert Dunn
1059,Rokurota Makabe,Toshirō Mifune,Izumi Nagakura,Takashi Shimura,Tahei,Minoru Chiaki,Princess Yuki,Misa Uehara,Matashichi,Kamatari Fujiwara,General Hyoe Tadokoro,Susumu Fujita
1073,Michael Faraday,Jeff Bridges,Oliver Lang,Tim Robbins,Cheryl Lang,Joan Cusack,Brooke Wolfe,Hope Davis,FBI Agent Whit Carver,Robert Gossett,Brady Lang,Mason Gamble
1075,Matko Destanov,Bajram Severdzhan,Dadan Karambolo,Srđan Todorović,Zarije Destanov,Zabit Memedov,Zare Destanov,Florijan Ajdini,Ida,Branka Katić,Sujka,Ljubica Adzovic
1088,Paikea Apirana,Keisha Castle-Hughes,Koro,Rawiri Paratene,Nanny Flowers,Vicky Haughton,Porourangi,Cliff Curtis,Uncle Rawiri,Grant Roa,Hemi,Mana Taumaunu
1089,Bodhi,Patrick Swayze,FBI Special Agent John 'Johnny' Utah,Keanu Reeves,FBI Agent Angelo Pappas,Gary Busey,Tyler Ann Endicott,Lori Petty,FBI Agent Ben Harp,John C. McGinley,Roach,James Le Gros
1090,Douglas Hall/John Ferguson/David,Craig Bierko,Hannon Fuller/Grierson,Armin Mueller-Stahl,Jane Fuller/Natasha Molinaro,Gretchen Mol,Jason Whitney/Jerry Ashton,Vincent D'Onofrio,Detective Larry McBain,Dennis Haysbert,Detective Zev Bernstein,Steven Schub
1091,R.J. MacReady,Kurt Russell,Childs,Keith David,Dr. Blair,Wilford Brimley,Garry,Donald Moffat,Dr. Copper,Richard Dysart,Norris,Charles Hallahan
1092,Holly Martins,Joseph Cotten,Anna Schmidt,Alida Valli,Harry Lime,Orson Welles,Major Calloway,Trevor Howard,Sergeant Paine,Bernard Lee,Porter,Paul Hörbiger
1093,Florence Carala,Jeanne Moreau,Julien Tavernier,Maurice Ronet,Louis,Georges Poujouly,Véronique,Yori Bertin,Le Commissaire Cherrier,Lino Ventura,Horst Becker,Iván Petrovich
1103,Snake Plissken,Kurt Russell,Police Commissioner Bob Hauk,Lee Van Cleef,Cabbie,Ernest Borgnine,President of the United States,Donald Pleasence,The Duke of New York,Isaac Hayes,Harold 'Brain' Helman,Harry Dean Stanton
1114,Urgroßvater Janchiv,Janchiv Ayurzana,Urgroßmutter Chimed,Chimed Ohin,Großvater Amgaa,Amgaabazar Gonson,Großmutter Zevel,Zeveljamz Nyam,Vater Ikchee,Ikhbayar Amgaabazar,Mutter Odgoo,Odgerel Ayusch
1115,Nina,Julia Hummer,Toni,Sabine Timoteo,Regisseur Oliver,Benno Fürmann,Francoise,Marianne Basler,Pierre,Aurélien Recoing,Kai,Anna Schudt
1116,Damien O'Donovan,Cillian Murphy,Teddy,Pádraic Delaney,Dan,Liam Cunningham,Sinead,Orla Fitzgerald,Donnacha,Gerard Kearney,Gogan,William Ruane
1123,Nic Vos,Tim Robbins,Patrick Chamusso,Derek Luke,Precious Chamusso,Bonnie Henna,Zuko September,Mncedisi Shabangu,Obadi,Tumisho Masha,Sixpence,Sithembiso Khumalo
1124,Robert Angier,Hugh Jackman,Alfred Borden,Christian Bale,Cutter,Michael Caine,Olivia Wenscombe,Scarlett Johansson,Alley,Andy Serkis,Jess Borden,Samantha Mahurin
1125,Curtis Taylor Jr.,Jamie Foxx,Deena Jones,Beyoncé Knowles,"James ""Thunder"" Early",Eddie Murphy,Marty Madison,Danny Glover,Effie White,Jennifer Hudson,Lorrell Robinson,Anika Noni Rose
1126,Paul Prior,Matthew Macfadyen,Celia,Emily Barclay,Penny Prior,Miranda Otto,Andrew Prior,Colin Moy,Jonathan,Jimmy Keen,Jackie,Jodie Rimmer
1127,Caye,Candela Peña,Zulema,Micaela Nevárez,Pilar,Mariana Cordero,Gloria,Llum Barrera,Caren,Violeta Pérez,Ángela,Mònica Van Campen
1162,Annie Sullivan,Anne Bancroft,Helen Keller,Patty Duke,Captain Arthur Keller,Victor Jory,Kate Keller,Inga Swenson,James Keller,Andrew Prine,Aunt Ev,Kathleen Comegys
1163,Helen Keller,Hallie Kate Eisenberg,Anne Sullivan,Alison Elliott,Captain Keller,David Strathairn,James Keller,Lucas Black,Kate Keller,Kate Greenhouse,Farm Boss,Stewart Arnott
1164,Richard,Brad Pitt,Susan,Cate Blanchett,Santiago,Gael García Bernal,Cheiko,Rinko Kikuchi,Amelia,Adriana Barraza,Anwar,Mohamed Akhzam
1165,HM Queen Elizabeth II,Helen Mirren,Tony Blair,Michael Sheen,Prince Philip,James Cromwell,HM The Queen Mother,Sylvia Syms,Cherie Blair,Helen McCrory,Trevor Rees-Jones,Paul Barrett
1213,Tom Ripley,Matt Damon,Marge Sherwood,Gwyneth Paltrow,Dickie Greenleaf,Jude Law,Meredith Logue,Cate Blanchett,Freddie Miles,Philip Seymour Hoffman,Peter Smith-Kingsley,Jack Davenport
1244,Uschi Obermaier,Natalia Avelon,Rainer Langhans,Matthias Schweighöfer,Dieter Bockhorn,David Scheller,Mick Jagger,Victor Norén,Keith Richards,Alexander Scheer,Uschis Mutter,Petra Berndt
1245,James Stevens,Anthony Hopkins,Miss Kenton,Emma Thompson,Lord Darlington,James Fox,Jack Lewis,Christopher Reeve,Reginald Cardinal,Hugh Grant,William Stevens,Peter Vaughan
1246,Rocky Balboa,Sylvester Stallone,Paulie,Burt Young,Rocky Jr.,Milo Ventimiglia,Marie,Geraldine Hughes,Steps,James Francis Kelly III,Duke,Tony Burton
1247,Edward Bell Wilson,Matt Damon,Margaret Ann Russell,Angelina Jolie,Sam Murach,Alec Baldwin,Laura,Tammy Blanchard,Arch Cummings,Billy Crudup,Bill Sullivan,Robert De Niro
1248,Hannibal Lecter,Gaspard Ulliel,Hannibal Lecter (young),Aaran Thomas,Lady Murasaki,Gong Li,Inspector Popil,Dominic West,Vladis Grutas,Rhys Ifans,Enrikas Dortlich,Richard Brake
1249,Louis Simo,Adrien Brody,Toni Mannix,Diane Lane,George Reeves,Ben Affleck,Eddie Mannix,Bob Hoskins,Helen Bessolo,Lois Smith,Carol Van Ronkel,Kathleen Robertson
1250,Johnny Blaze/Ghost Rider,Nicolas Cage,Roxanne Simpson,Eva Mendes,Blackheart / Black King,Wes Bentley,Mack,Donal Logue,Carter Slade / Phantom Rider,Sam Elliott,Mephistopheles,Peter Fonda
1251,General Tadamichi Kuribayashi,Ken Watanabe,Private Saigo,Kazunari Ninomiya,Colonel Baron Nishi,Tsuyoshi Ihara,Private Shimizu,Ryo Kase,Lieutenant Ito,Nakamura Shidō II,Lieutenant Fujita,Hiroshi Watanabe
1252,Elmer C. Robinson,John Travolta,Charles Hildebrandt,James Gandolfini,Martha Beck,Salma Hayek,Raymond Martinez Fernandez,Jared Leto,Rene,Laura Dern,D.A. Hunt,Michael Gaston
1253,Will Francis,Jude Law,Amira,Juliette Binoche,Oana,Vera Farmiga,Liv,Robin Wright,Sandy,Martin Freeman,Miro,Rafi Gavron
1254,Lili,Mélanie Laurent,Paul Tellier,Kad Merad,Isabelle Tellier,Isabelle Renauld,Thomas,Julien Boisselier,Le psychiatre,Thibault de Montalembert,Loïc,Mickael Trodoux
1255,Park Gang-du,Kang-ho Song,Park Nam-il,Park Hae-Il,Park Nam-joo,Bae Doona ,Park Hyun-seo,Ko Ah-Sung,Park Hie-bong,Byun Hee-bong,American Doctor,Scott Wilson
1256,Nina,Sabrina Reiter,Clemens,Michael Steinocher,Martin,Laurence Rupp,Alex,Nadja Vogel,Berger,Karl Fischer,Elisabeth,Michou Friesz
1257,Daphne,Diane Keaton,Milly,Mandy Moore,Johnny,Gabriel Macht,Jason,Tom Everett Scott,Maggie,Lauren Graham,Mae,Piper Perabo
1259,Barbara Covett,Judi Dench,Sheba Hart,Cate Blanchett,Richard Hart,Bill Nighy,Polly Hart,Juno Temple,Ben Hart,Max Lewis,Steven Connolly,Andrew Simpson
1260,Lotte (voice),Evelin Võigemast,Albert/Theodor (voice),Argo Aadli,Bruno (voice),Andero Ermel,Oskar (voice),Lembit Ulfsak,Anna,Garmen Tabor,Mati (voice),Marko Matvere
1262,Harold Crick,Will Ferrell,Ana Pascal,Maggie Gyllenhaal,Professor Jules Hilbert,Dustin Hoffman,Karen Eiffel,Emma Thompson,Penny Escher,Queen Latifah,Junge,Ricky Adams
1263,Dr. Steffen Wesemann,Carsten Strauch,Dr. Klaus Kunze,Rainer Ewerrien,Sylvia Göbel,Cosma Shiva Hagen,Dr. Christiane Tietz,Nina Kronjäger,Prof. Reinhold Radwanski,Christoph Maria Herbst,Werner Vierkötter,Josef Ostendorf
1264,Leon,Jimi Blue Ochsenknecht,Marlon,Wilson Gonzalez Ochsenknecht,Vanessa,Sarah Kim Gries,Nerv,Nick Romeo Reimann,Maxi,Marlon Wessel,,
1265,Jess Aarons,Josh Hutcherson,Leslie Burke,AnnaSophia Robb,Ms. Edmunds,Zooey Deschanel,Mary Aarons,Kate Butler,May Belle Aarons,Bailee Madison,Jack Aarons,Robert Patrick
1266,Detective Tom Ludlow,Keanu Reeves,Captain Jack Wander,Forest Whitaker,Detective Paul Diskant,Chris Evans,Captain James Biggs,Hugh Laurie,Grace Garcia,Martha Higareda,Scribble,Cedric the Entertainer
1267,Cornelius Robinson (voice),Tom Selleck,Lucille Krunklehorn (voice),Laurie Metcalf,Mildred (voice),Angela Bassett,Franny (voice),Nicole Sullivan,Carl (voice),Harland Williams,Lewis (voice),Daniel Hansen
1268,Mr. Bean,Rowan Atkinson,Stepan,Max Baldry,Sabine,Emma de Caunes,Carson Clay,Willem Dafoe,Emil,Karel Roden,Vicar,Steve Pemberton
1269,Chief Inspector Even Longer,Oliver Kalkofe,Inspector Very Long/ Rosenverkäufer/ Vater von Very Long,Bastian Pastewka,Lord David Dickham,Joachim Fuchsberger,Victoria Dickham,Christiane Paul,Alfons Hatler,Christoph Maria Herbst,Eddie,Martin Semmelrogge
1271,King Leonidas,Gerard Butler,Queen Gorgo,Lena Headey,Theron,Dominic West,Dilios,David Wenham,Captain,Vincent Regan,Stelios,Michael Fassbender
1272,Capa,Cillian Murphy,Cassie,Rose Byrne,Mace,Chris Evans,Corazon,Michelle Yeoh,Searle,Cliff Curtis,Kaneda,Hiroyuki Sanada
1273,Casey (voice),Chris Evans,April O'Neil (voice),Sarah Michelle Gellar,Splinter (voice),Mako,Diner Cook (voice),Kevin Smith,Winters (voice),Patrick Stewart,Karai (voice),Zhang Ziyi
1277,Ilona,Erika Marozsán,László,Joachim Król,Hans Wieck,Ben Becker,András,Stefano Dionisi,Ilonas Sohn,András Bálint,Geigenspieler,Géza Boros
1278,Matthew,Michael Pitt,Isabelle,Eva Green,Theo,Louis Garrel,Mother,Anna Chancellor,Father,Robin Renucci,Himself,Jean-Pierre Kalfon
1279,Jae-yeong,Han Yeo-reum,Yeo-jin,Kwak Ji-min,Yeong-ki,Lee Eol,Salesman,Kwon Hyun-Min,Musician,Oh Young,Tidily Guy,Gyun-Ho Im
1280,Sun-hwa,Lee Seung-yeon,Tae-suk,Jae Hee,Min-gyu,Kwon Hyuk-Ho,Jailor,Choi Jeong-ho,Daughter-in-law of Old Man,Lee Mi-suk,Son of Old Man,Lee Ju-seok
1281,Mr. Bean,Rowan Atkinson,David Langley,Peter MacNicol,Chairman,John Mills,Alison Langley,Pamela Reed,George Grierson,Harris Yulin,General Newton,Burt Reynolds
1282,Narrator,Sean Penn,Himself (Zephyr skate team),Jay Adams,Himself,Henry Rollins,Himself,Steve Caballero,Himself,Tony Hawk,Himself,Jeff Ament
1283,José Luis Torrente,Santiago Segura,Rafi,Javier Cámara,Amparito,Neus Asensi,Reme,Chus Lampreave,Felipe Torrente,Tony Leblanc,Toneti,Jimmy Barnatán
1284,José Luis Torrente,Santiago Segura,Cuco,Gabino Diego,Mauricio Torrente,Tony Leblanc,Spinello,José Luis Moreno,Bella cantante,Inés Sastre,Fabiano,Arturo Valls
