ID,name,dob,popu,city,state,country,
8,Lee Unkrich,8/8/1967,0.408649,Cleveland, Ohio, USA,
9,Graham Walters,null,0.127575,null,,,
10,Bob Peterson,1/18/1961,2.818623,Wooster, Ohio, USA,
11,David Reynolds,,1.00E-05,null,,,
12,Alexander Gould,5/4/1994,2.390544,Los Angeles, California, USA,
13,Albert Brooks,7/22/1947,5.056944,Beverly Hills, California, USA,
33,Gary Sinise,3/17/1955,2.790723,Blue Island, Illinois, USA,
18,Brad Garrett,4/14/1960,0.252513,Woodland Hills, Los Angeles, California, USA
23,Bill Hunter,2/27/1940,9.00E-05,Ballarat, Victoria, Australia,
24,Robert Zemeckis,5/14/1951,3.323433,Chicago, Illinois, USA ,
14,Ellen DeGeneres,1/26/1958,1.740619,Metairie, Louisiana, USA,
26,Winston Groom,3/23/1944,0.000343,Washington, District of Columbia, USA,
27,Eric Roth,3/22/1945,1.852651,New York City, New York, USA,
28,Wendy Finerman,8/2/1961,1.00E-06,null,,,
30,Steve Starkey,null,2.00E-06,null,,,
31,Tom Hanks,7/9/1956,18.48513,Concord - California - USA,,,
32,Robin Wright,4/8/1966,7.162076,Dallas, Texas, USA,
34,Mykelti Williamson,3/4/1957,2.506559,Saint Louis, Missouri, USA,
35,Sally Field,11/6/1946,2.080287,Pasadena, California, USA,
36,Don Burgess,null,0.008937,null,,,
37,Alan Silvestri,3/26/1950,0.003731,null,,,
38,Arthur Schmidt,null,5.00E-06,null,,,
39,Sam Mendes,8/1/1965,2.244995,Reading, Berkshire, England, UK
40,Orson Welles,5/6/1915,3.96518,Kenosha, Wisconsin, USA,
42,Lars von Trier,4/30/1956,3.751572,Kongens Lyngby, Denmark,,
43,John Fawcett,3/5/1968,0.082212,Edmonton, Alberta, Canada,
44,Simon Maginn,null,0,Wallasey, Merseyside,,
45,Stephen Massicotte,null,2.00E-06,null,,,
47,Björk,11/21/1965,4.155335,Reykjavík, Iceland,,
48,Sean Bean,4/17/1959,4.58716,Sheffield, South Yorkshire, England, UK
49,Maria Bello,4/18/1967,11.810152,Norristown, Pennsylvania, USA,
50,Catherine Deneuve,10/22/1943,9.406064,Paris, France,,
51,Richard Elfyn,null,2.90E-05,null,,,
52,David Morse,10/11/1953,2.549053,Hamilton - Massachusetts - USA,,,
53,Peter Stormare,8/27/1953,4.744635,Arbrå, Gävleborgs län, Sweden,
54,Maurice Roeves,3/19/1937,0.20412,Sunderland, Tyne-and-Wear, England, UK
55,Abigail Stone,6/2/1992,7.40E-05,null,,,
56,Sophie Stuckey,null,0,null,,,
59,Luc Besson,3/18/1959,2.788514,Paris, France,,
60,Patrice Ledoux,null,0.008857,null,,,
61,Robert Mark Kamen,,1.806918,The Bronx, New York, United States,
62,Bruce Willis,3/19/1955,11.726686,Idar-Oberstein, Germany,,
63,Milla Jovovich,12/17/1975,13.45703,Kiev, Ukraine,,
