id,biz_name,e_address,e_city,e_state,e_postal,e_zip_full,e_country,biz_phone
1,26 Drive-Inn,3885 Highway 51 N,Midway,AL,36053,36053-6136,USA,(334) 529-3500
2,411 Drive in Theatre,300 County Road 225,Centre,AL,35960,35960-7954,USA,(256) 927-2855
3,ACTA,225 Parkway Dr,Trussville,AL,35173,35173-1125,USA,(205) 655-3902
4,Am Star Cinema 12,700 Quintard Drive Ofc,Anniston,AL,36203,,USA,(256) 835-5008
5,Amstar Entertainment,7063 Lake Run Dr,Birmingham,AL,35242,35242-7503,USA,(205) 969-8080
6,BAMA Six Cinema,Bama Mall,Tuscaloosa,AL,35401,,USA,(205) 752-1163
7,Barrister Records Inc,"501 N Main St, #b",Opp,AL,36467,36467-1629,USA,(334) 493-8511
8,Big Wills Art Council,306 Gault Ave S,Fort Payne,AL,35967,35967-1824,USA,(256) 845-2224
9,Birmingham Broadway Series,2805 6th Ave S,Birmingham,AL,35233,35233-2801,USA,(205) 328-8222
10,Birmingham Children's Theatre,950 22nd St N,Birmingham,AL,35203,35203-1112,USA,(205) 458-8181
11,Blue Moon Drive-In Theater,4690 US-43,Guin,AL,35563,,USA,(205) 468-8046
12,Capri Community Film Society,1045 E Fairview Ave,Montgomery,AL,36106,36106-2144,USA,(334) 262-4858
13,Carmike 8,1755 Eastern Blvd,Montgomery,AL,36117,36117-1619,USA,(334) 272-6421
14,Carmike 8 - Business Office,607 14th Ave SW,Decatur,AL,35601,35601-2701,USA,(256) 350-0935
17,Carmike Cinemas - Business Office,1001 Eastern Blvd,Montgomery,AL,36117,,USA,(334) 244-1818
18,Carmike Cinemas - Eastdale Triple,5501 Atlanta Hwy,Montgomery,AL,36117,,USA,(334) 277-5164
19,Carmike Cinemas 6,5804 Weaver Rd,Anniston,AL,36206,36206-3610,USA,(256) 820-5557
21,Cinema Blue Theatre,7604 1st Ave N,Birmingham,AL,35206,35206-4222,USA,(205) 836-5411
22,Cinemagic Drive in Theatre,1702 Jefferson St SE,Athens,AL,35611,35611-4274,USA,(256) 233-0402
23,Clark Cinema I & II,Enterprise Shopping,Enterprise,AL,36330,,USA,(334) 347-3931
24,Clark Cinema III & IV,Westgate Centre,Enterprise,AL,36330,,USA,(334) 347-3811
25,Clark Movie Info,Martindale Plaza,Enterprise,AL,36330,,USA,(334) 347-2531
26,Clark Theatre,Oneal Building,Andalusia,AL,36420,,USA,(334) 222-4761
28,Cobb Theatres,7001 Crestwood Blvd,Birmingham,AL,35210,35210-2330,USA,(205) 595-8963
29,Cobb Theatres - Madison Square 12,Madison Square Mall,Huntsville,AL,35806,,USA,(256) 830-6829
30,College Cinema,College Plaza Shoppi,Enterprise,AL,36330,,USA,(334) 347-4911
31,Continental Cinema 5 Office,US-231,Troy,AL,36079,,USA,(334) 808-4225
32,Davis Theater for the Performing Arts,251 Montgomery St,Montgomery,AL,36104,36104-3526,USA,(334) 241-9762
33,Dixie Cinema Three,225 Bexar Ave E,Hamilton,AL,35570,35570-4064,USA,(205) 921-3430
37,Hamilton Theaters,2715 Gault Ave N,Fort Payne,AL,35967,35967-3730,USA,(256) 845-5518
