TVID,Title,Avg_voute,Total_vote_count,End_date
4500,The Wonder Years,6.6,12,5/12/1993
4501,Your Mother Wouldn't Like It,0,0,1/13/1988
4502,Project 11,0,0,9/30/2006
4503,Life as We Know It,4,2,1/20/2005
4504,Shortland Street,0,1,11/28/2016
4505,Cash in the Attic,0,0,5/28/2010
4506,I'm with Her,0,0,4/27/2004
4507,The Thick of It,7.3,6,10/20/2012
4508,The Zeta Project,0,0,8/17/2002
4509,Nuts Entertainment,0,0,12/27/2008
4510,Princess Gwenevere and the Jewel Riders,0,0,12/12/1996
4511,The X's,0,1,12/13/2006
4512,Grady,0,0,1/29/1976
4513,Sidekicks,0,0,6/13/1987
4514,Sábado Gigante,0,0,null
4515,Lois & Clark: The New Adventures of Superman,6.6,20,6/14/1997
4516,Toad Patrol,0,0,7/16/2003
4517,Bureau of Alien Detectors,0,0,12/1/1996
4518,Encantadia,0,0,5/2/2005
4519,Poker Night Live,0,0,null
4520,General Electric Theater,0,1,6/3/1962
4521,Jake and the Fatman,4,3,5/6/1992
4522,Jesse,7.5,1,5/25/2000
4523,Heads Up with Richard Herring,0,0,1/8/2006
4524,Gerald McBoing-Boing,0,0,11/28/2007
4525,Turn Back Time,0,0,9/13/2006
4526,Savannah,6.5,2,2/24/1997
4528,Newton's Apple,0,0,1/3/1998
4529,Cannon,3,2,3/3/1976
4530,Daktari,0,0,1/15/1969
4531,Night Visions,0.5,1,9/24/2001
4532,Superboy,4.5,1,5/17/1992
4533,Anthony Bourdain: No Reservations,8.3,2,11/5/2012
4534,Almost Live!,0,0,5/22/1999
4535,American Chopper,3,1,2/11/2010
4536,Naked Camera,0,0,4/30/2007
4537,Ohara,0,0,5/7/1988
4538,Nightmare Cafe,3,1,3/13/1992
4539,Kingpin,10,1,2/18/2003
4540,Lucky Louie,6.8,6,9/3/2006
4541,Total Recall 2070,4.8,2,6/8/1999
4542,Call My Bluff,0,0,10/17/1965
4543,Love to Love,0,0,null
4544,Strong Medicine,5,1,2/5/2006
4545,Blossom,5.8,5,5/22/1995
4546,Curb Your Enthusiasm,7.5,26,9/11/2011
4547,Another World,0,0,6/25/1999
4548,One Foot in the Grave,0,0,11/20/2000
4549,Yes Minister,6.8,5,12/23/1982
4550,7th Heaven,5.8,9,5/13/2007
4551,America's Got Talent,5.5,12,9/14/2016
4552,The Amazing Spider-Man,5.1,4,7/6/1979
4553,Bill the Minder,0,0,null
4554,Raines,8,1,4/27/2007
4555,Celebrity Cooking Showdown,0,0,4/22/2006
4556,Scrubs,7.6,109,3/17/2010
4557,Lovejoy,7.8,3,12/4/1994
4558,Doomwatch,0,0,12/16/1999
4559,Love to Love,0,0,null
4560,MJ Morning Show,0,0,null
4561,704 Hauser,0,0,5/9/1994
4562,Seven Days,7.5,4,5/29/2001
4563,Never the Twain,0,0,10/9/1991
4564,Over There,8.5,2,2/12/2006
4565,I'll Fly Away,0,0,10/11/1993
4566,Croc Files,0,0,1/6/2001
4567,Allegra's Window,0,0,5/1/1996
4568,Pepper Ann,8,1,11/18/2000
4569,Jake 2.0,5.2,8,2/6/2004
4570,All Night Long,0,0,8/15/1994
4571,Hunter,8,5,4/26/1991
4572,According to Bex,0,0,2/25/2005
4573,Late Night with Conan O'Brien,6,5,2/20/2009
4574,X-Men,7.6,20,9/20/1997
4575,Lizzie McGuire,5.1,8,2/14/2004
4576,Just Shoot Me!,6.2,10,8/16/2003
4577,Windfall,0,0,8/31/2006
4578,Krystala,0,0,4/22/2005
4579,The Champions,0,0,4/30/1969
4580,The Return of Ultraman,0,0,3/31/1972
4581,フレンズ,0,0,2/16/2002
4582,Ironside,5.3,9,2/6/1975
4583,Derrick,4.5,3,10/16/1998
4584,Love to Love,0,0,null
4585,Tripping the Rift,8.8,2,1/10/2008
4586,Gilmore Girls,7,41,5/15/2007
4588,ER,6.4,28,4/2/2009
4589,Arrested Development,7.8,71,5/26/2013
4590,The PJs,8,1,7/1/2001
4591,America's Test Kitchen,0,0,6/29/2013
4592,Hippy Gourmet,0,0,null
4593,The French Chef,0,0,null
4594,Iron Chef,2.5,1,10/8/1999
4595,Two Fat Ladies,0,0,9/28/1999
4596,Wok with Yan,0,0,null
4597,Yan Can Cook,0,0,null
4598,Boston Legal,7.4,33,12/8/2008
4599,Yes,,0,2/15/2006
4600,Robin Hood,7.3,3,6/27/2009
4601,Law & Order: Criminal Intent,6.7,23,6/26/2011
4602,That's So Raven,6.4,6,11/10/2007
4603,Faerie Tale Theatre,0,0,11/14/1987
4604,Smallville,6.9,84,5/13/2011
4605,The Suite Life of Zack & Cody,5.3,12,9/1/2008
4606,Garfield and Friends,6.3,8,12/1/2016
4607,Lost,7.6,247,5/23/2010
4608,30 Rock,6.1,56,1/31/2013
4609,Shorty McShorts' Shorts,0,0,4/27/2007
4610,Hannah Montana,5.7,14,1/16/2011
4611,I Pity the Fool,0,0,11/15/2006
4612,Pee-wee's Playhouse,8,1,11/10/1990
4613,Band of Brothers,7.7,109,11/4/2001
4614,NCIS,6.1,184,1/3/2017
4615,Hercules: The Legendary Journeys,6.2,24,11/27/1999
4616,Xena: Warrior Princess,6.6,38,6/25/2001
4617,Max Headroom,0,1,5/5/1988
4618,Day Break,6.9,7,3/22/2008
4619,Blade: The Series,4.1,4,9/20/2006
4620,Eureka,7.6,60,7/16/2012
4621,Galactica 1980,4,2,5/4/1980
4622,Code Lyoko,4,2,2/9/2013
4623,The Emperor's New School,2.5,2,11/20/2008
4624,Roswell,6.5,21,5/14/2002
4625,The New Batman Adventures,6.3,3,1/16/1999
4626,Ugly Betty,4.3,21,4/14/2010
4627,The Replacements,0,0,3/30/2009
4628,Auf Wiedersehen,,8,12/29/2004
4629,Stargate SG-1,7.7,147,6/22/2007
4630,The Fairly OddParents,6.1,15,1/22/2016
4631,Cupid,0,0,2/11/1999
4632,Vanished,0,0,11/30/1999
4633,Jetix,0,0,null
4634,Snork,0,0,null
4635,Life with Derek,8,1,3/25/2009
4636,Viper,8,1,5/22/1999
4637,The Worst Week of My Life,0,0,12/25/2006
4638,Impact Wrestling,10,1,10/21/2015
4639,Andrew Marr's History of Modern Britain,0,0,6/19/2007
4640,Survivor's Law,0,0,10/13/2004
4641,Glenn Beck,0,0,6/30/2011
4642,McGee and Me!,0,0,6/21/1992
4643,Welcome to the House,0,0,3/10/2007
4644,Wheel 2000,0,0,2/7/1998
4645,14才の母,0,0,12/20/2006
4646,The $128,,0,null
4647,Kamehameha Schools Song Contest,0,0,null
4648,Major League Baseball on Fox,0,0,null
4649,That Crook'd 'Sipp,0,0,5/13/2007
4650,Dragon Hunters,0,0,null
4651,TV Patrol Central Visayas,0,0,null
4652,Dr. Phil,0.3,2,8/6/2014
4653,Star Trek: Phase II,0,0,1/28/2017
4654,What's On,0,0,null
4655,El Nombre,0,0,null
4656,WWE Raw,5.8,20,12/26/2016
4657,California Fever,0,0,12/11/1979
4658,ALF,7.3,38,3/24/1990
4659,1st and 10,0,0,null
4660,Adam-12,0,1,5/20/1975
4661,The Journey of Allen Strange,0,0,4/23/2000
4662,Close to Home,0.5,1,5/11/2007
4663,WCW Main Event,0,0,1/3/1998
4664,Wednesday Night Baseball,0,0,null
4665,The Berenstain Bears,0,0,9/10/2004
4667,Andy Barker,,8,4/14/2007
4668,Mirror,,0,12/23/1995
4669,Paul Merton: The Series,0,0,10/8/1993
4670,Stella,7,1,8/30/2005
4671,Nightline,0,0,null
4673,The Secret Storm,0,1,2/8/1974
4674,Philippine Agenda,0,0,5/13/2007
4675,Christy,0,0,8/2/1995
4676,Tori & Dean: Inn Love,0,0,6/7/2010
4678,Bob the Butler,0,0,null
4679,Not Your Average Travel Guide,0,0,null
4680,The Islanders,0,0,3/26/1961
4681,Zorro,7.3,3,4/2/1961
4682,Strictly Come Dancing: It Takes Two,0,0,9/28/2015
4683,Good Morning,,0,3/18/1989
