4800,1,1,4800,8/23/1966,0.000159,69751,Charley Boorman,Wimbledon, London, England, UK
4800,1,2,4800,8/23/1966,0.000159,69751,Charley Boorman,Wimbledon, London, England, UK
4800,1,3,4800,8/23/1966,0.000159,69751,Charley Boorman,Wimbledon, London, England, UK
4800,2,1,4800,8/23/1966,0.000159,69751,Charley Boorman,Wimbledon, London, England, UK
4800,2,2,4800,8/23/1966,0.000159,69751,Charley Boorman,Wimbledon, London, England, UK
4800,2,3,4800,8/23/1966,0.000159,69751,Charley Boorman,Wimbledon, London, England, UK
4803,1,1,4803,null,0.21,1447566,John Williamson,null,,,
4803,1,2,4803,null,0.21,1447566,John Williamson,null,,,
4803,1,3,4803,null,0.21,1447566,John Williamson,null,,,
4803,2,1,4803,null,0.21,1447566,John Williamson,null,,,
4803,2,2,4803,null,0.21,1447566,John Williamson,null,,,
4803,2,3,4803,null,0.21,1447566,John Williamson,null,,,
4808,1,1,4808,10/31/1936,1.00E-06,116771,Michael Landon,null,,,
4808,1,2,4808,10/31/1936,1.00E-06,116771,Michael Landon,null,,,
4808,1,3,4808,10/31/1936,1.00E-06,116771,Michael Landon,null,,,
4808,2,1,4808,10/31/1936,1.00E-06,116771,Michael Landon,null,,,
4808,2,2,4808,10/31/1936,1.00E-06,116771,Michael Landon,null,,,
4808,2,3,4808,10/31/1936,1.00E-06,116771,Michael Landon,null,,,
4826,1,1,4826,null,4.00E-06,34643,Hans-Günther Bücking,,,,
4826,1,2,4826,null,4.00E-06,34643,Hans-Günther Bücking,,,,
4826,1,3,4826,null,4.00E-06,34643,Hans-Günther Bücking,,,,
4826,2,1,4826,null,4.00E-06,34643,Hans-Günther Bücking,,,,
4826,2,2,4826,null,4.00E-06,34643,Hans-Günther Bücking,,,,
4826,2,3,4826,null,4.00E-06,34643,Hans-Günther Bücking,,,,
4835,1,1,4835,null,0,1255499,Steffen Müller,null,,,
4835,1,2,4835,null,0,1255499,Steffen Müller,null,,,
4835,1,3,4835,null,0,1255499,Steffen Müller,null,,,
4835,2,1,4835,null,0,1255499,Steffen Müller,null,,,
4835,2,2,4835,null,0,1255499,Steffen Müller,null,,,
4835,2,3,4835,null,0,1255499,Steffen Müller,null,,,
